ID,Title,Difficulty,State,Solution
1,Multiples of 3 and 5, 5,intact,0
2,Even Fibonacci numbers, 5,intact,0
3,Largest prime factor, 5,intact,0
4,Largest palindrome product, 5,intact,0
5,Smallest multiple, 5,intact,0
6,Sum square difference, 5,intact,0
7,10001st prime, 5,intact,0
8,Largest product in a series, 5,intact,0
9,Special Pythagorean triplet, 5,intact,0
10,Summation of primes, 5,intact,0
11,Largest product in a grid, 5,intact,0
12,Highly divisible triangular number, 5,intact,0
13,Large sum, 5,intact,0
14,Longest Collatz sequence, 5,intact,0
15,Lattice paths, 5,intact,0
16,Power digit sum, 5,intact,0
17,Number letter counts, 5,intact,0
18,Maximum path sum I, 5,intact,0
19,Counting Sundays, 5,intact,0
20,Factorial digit sum, 5,intact,0
21,Amicable numbers, 5,intact,0
22,Names scores, 5,intact,0
23,Non-abundant sums, 5,intact,0
24,Lexicographic permutations, 5,intact,0
25,1000-digit Fibonacci number, 5,intact,0
26,Reciprocal cycles, 5,intact,0
27,Quadratic primes, 5,intact,0
28,Number spiral diagonals, 5,intact,0
29,Distinct powers, 5,intact,0
30,Digit fifth powers, 5,intact,0
31,Coin sums, 5,intact,0
32,Pandigital products, 5,intact,0
33,Digit cancelling fractions, 5,intact,0
34,Digit factorials, 5,intact,0
35,Circular primes, 5,intact,0
36,Double-base palindromes, 5,intact,0
37,Truncatable primes, 5,intact,0
38,Pandigital multiples, 5,intact,0
39,Integer right triangles, 5,intact,0
40,Champernowne's constant, 5,intact,0
41,Pandigital prime, 5,intact,0
42,Coded triangle numbers, 5,intact,0
43,Sub-string divisibility, 5,intact,0
44,Pentagon numbers, 5,intact,0
45,"Triangular, pentagonal, and hexagonal", 5,intact,0
46,Goldbach's other conjecture, 5,intact,0
47,Distinct primes factors, 5,intact,0
48,Self powers, 5,intact,0
49,Prime permutations, 5,intact,0
50,Consecutive prime sum, 5,intact,0
51,Prime digit replacements, 15,intact,0
52,Permuted multiples, 5,intact,0
53,Combinatoric selections, 5,intact,0
